label,label_noisy
19,19
29,29
0,92
11,46
1,1
86,22
90,90
28,28
23,23
31,29
39,39
96,52
82,82
17,37
71,71
39,39
8,8
97,43
80,80
71,71
74,26
59,59
70,70
87,87
59,56
84,87
64,50
52,59
42,42
64,64
8,8
17,17
47,52
65,66
21,3
22,22
81,13
11,35
24,7
84,84
78,78
45,45
49,49
97,97
56,56
76,76
11,46
90,90
89,58
78,78
73,30
14,14
87,12
9,16
71,71
6,79
47,47
20,20
98,46
47,59
36,36
55,72
72,72
43,38
51,51
35,98
83,0
33,33
27,27
53,92
92,92
50,74
15,15
89,89
36,36
18,18
89,89
46,46
33,33
42,42
39,25
64,97
75,75
38,38
23,23
42,88
66,97
77,57
49,49
18,18
46,11
15,15
35,2
69,69
95,71
83,92
75,75
99,99
73,30
93,93
55,55
39,39
4,55
97,97
61,61
93,4
51,51
69,69
56,56
84,25
59,52
64,64
94,87
4,4
11,11
33,33
68,68
38,38
20,20
33,33
34,34
32,67
46,11
53,53
88,88
67,67
70,83
64,55
53,70
64,64
8,8
96,47
87,87
30,73
20,84
30,95
66,66
19,19
76,69
87,87
52,59
62,83
35,2
63,50
40,40
4,55
99,78
63,4
74,74
53,53
26,48
95,95
48,82
27,38
33,96
29,56
39,39
79,79
32,67
46,2
64,64
28,28
85,85
32,67
82,82
78,44
39,39
54,54
28,28
66,66
65,80
72,55
21,21
64,97
62,92
72,72
0,0
44,44
7,7
12,85
19,19
11,35
31,31
61,36
79,79
45,26
81,37
79,7
98,21
43,88
46,46
67,32
80,80
68,76
74,74
48,48
81,13
94,5
86,86
69,69
39,39
73,67
2,2
46,98
49,49
63,4
43,43
14,14
49,49
68,68
65,63
41,41
37,85
45,84
36,36
21,31
77,77
37,37
39,39
8,8
9,9
62,70
86,86
39,39
19,19
54,54
39,39
28,40
11,35
89,89
90,17
90,85
79,7
66,66
81,37
21,21
79,79
40,40
29,29
22,22
13,89
25,25
11,46
38,38
10,40
96,52
54,54
65,80
39,39
40,86
42,88
48,48
48,8
51,51
11,98
23,71
23,23
89,89
52,47
46,46
2,2
95,72
43,97
86,86
34,36
66,66
18,6
46,46
66,66
56,56
57,53
1,1
44,44
11,46
82,82
23,23
90,90
56,56
19,34
68,49
66,75
28,28
1,1
57,57
67,68
5,25
13,81
78,99
6,82
84,84
7,7
41,41
65,65
80,80
12,76
50,50
63,63
26,45
8,8
53,53
60,71
99,99
97,97
85,85
0,83
78,99
31,17
10,10
2,2
7,24
43,88
83,57
97,97
91,27
82,82
28,61
42,42
0,51
82,82
5,25
68,68
60,60
30,30
98,46
82,6
20,20
64,64
66,66
10,10
75,75
54,53
57,57
87,40
66,66
66,66
73,30
54,54
88,88
42,42
37,37
80,80
87,87
3,3
29,47
43,34
12,12
73,73
96,52
23,23
96,96
84,84
19,31
62,92
0,0
21,3
11,11
36,50
64,64
76,76
60,60
3,21
80,80
82,82
79,79
26,26
65,65
72,55
11,35
15,15
31,37
48,48
12,12
91,73
71,71
87,87
77,77
15,15
7,7
58,13
51,51
55,72
85,85
2,11
3,72
89,89
10,10
3,72
11,98
20,20
4,4
48,48
27,27
48,48
7,7
67,32
3,3
65,65
56,56
9,76
44,44
95,95
46,46
83,61
40,28
58,13
87,87
59,52
18,12
48,48
5,25
88,6
26,26
21,21
24,7
53,53
68,68
49,49
89,89
96,59
92,57
7,24
13,13
99,99
49,49
22,61
56,56
67,23
13,58
97,66
6,6
19,31
76,76
65,65
9,18
71,49
63,63
71,71
18,27
55,74
34,34
18,18
0,57
56,56
23,71
75,7
70,70
78,78
45,83
66,66
91,91
25,25
58,58
90,17
29,29
68,71
35,2
54,54
77,77
97,97
0,0
70,54
75,75
60,71
65,65
5,5
58,58
82,82
49,49
61,61
28,28
44,44
56,45
82,82
61,61
43,43
20,84
38,38
85,85
87,87
49,33
85,85
24,24
7,24
88,34
40,87
38,38
72,30
56,96
4,63
81,81
98,46
97,38
14,62
46,98
23,71
89,89
86,86
83,57
54,54
27,27
41,41
96,96
1,1
81,13
79,79
30,73
17,37
14,14
67,67
20,20
54,73
92,54
33,59
57,83
65,36
49,49
71,71
59,52
85,85
22,22
31,31
85,85
17,37
42,43
62,92
26,26
60,71
27,27
57,57
19,19
97,97
88,88
10,28
31,31
23,23
84,25
74,4
63,4
94,94
77,4
90,12
60,60
5,5
1,93
61,61
95,95
32,67
95,95
57,57
32,32
23,23
39,39
45,45
41,48
69,69
89,89
45,26
47,59
57,57
11,46
48,8
74,4
2,2
11,2
95,95
50,74
37,37
59,47
71,71
84,84
89,89
84,45
70,53
16,16
71,71
8,8
48,48
31,31
98,35
32,11
2,2
74,74
62,92
71,71
90,85
34,88
51,51
0,57
12,12
26,93
57,57
62,62
57,0
31,29
65,38
32,67
16,16
35,11
98,46
11,11
87,12
38,38
52,96
89,89
40,22
76,68
7,7
54,70
76,76
30,73
59,96
84,84
3,3
91,91
46,46
65,19
43,43
49,49
6,82
33,37
5,84
14,75
77,77
44,44
68,68
82,82
94,94
66,66
73,71
56,37
89,89
53,53
22,22
69,69
77,77
84,84
20,20
98,46
4,55
69,44
79,79
40,40
45,45
1,1
56,96
65,65
51,51
5,5
80,80
54,54
92,48
4,3
23,23
60,60
81,90
77,77
73,93
98,46
0,0
14,18
9,9
44,99
27,27
8,48
43,34
74,74
46,46
94,94
86,86
30,95
61,61
57,57
11,2
81,13
25,5
81,13
70,53
29,29
27,27
3,3
71,23
53,83
48,48
19,19
80,80
57,57
19,19
59,56
25,25
56,56
74,50
32,32
98,35
37,37
13,81
45,28
12,12
80,80
64,64
16,28
17,37
24,24
30,30
25,5
96,96
37,37
5,84
98,98
31,29
94,94
5,84
29,29
66,97
51,51
6,6
67,67
50,64
68,68
27,27
62,70
89,89
5,5
11,2
13,89
66,66
55,4
15,15
62,62
74,63
31,31
93,93
59,59
1,1
97,64
32,32
39,57
41,41
62,62
71,71
70,70
98,35
41,41
42,42
70,70
3,3
35,2
90,90
22,22
50,80
61,10
66,66
92,54
53,53
12,25
84,89
33,60
57,57
93,67
79,7
69,69
53,57
9,9
19,19
6,6
20,20
76,76
5,20
98,98
92,62
78,99
93,93
79,6
21,31
51,51
74,4
76,76
56,56
75,75
27,27
22,61
37,68
16,86
72,3
81,13
36,50
48,41
13,58
56,56
70,62
0,0
63,4
90,49
53,83
29,29
64,50
2,2
83,83
63,63
89,89
14,14
66,66
95,30
65,65
85,85
5,5
7,7
58,13
61,10
42,42
59,52
37,12
12,76
42,42
66,97
71,23
40,40
63,4
45,45
19,31
33,33
55,27
26,45
0,92
60,60
72,72
4,55
63,63
76,69
46,98
64,64
96,96
69,69
64,66
75,75
33,96
36,36
26,45
62,62
18,18
48,48
50,36
36,36
26,79
28,28
71,71
76,69
45,26
52,47
65,65
59,59
41,41
69,69
15,31
87,87
50,50
11,46
71,23
36,36
84,84
73,73
46,46
83,83
12,12
79,33
54,54
50,74
75,40
72,73
37,17
91,91
19,21
82,82
22,22
41,41
53,57
14,82
15,15
84,84
11,2
35,11
83,53
36,36
17,17
74,74
26,77
46,46
97,97
85,85
98,98
10,10
63,74
72,67
93,93
45,45
95,73
68,68
